"date","beat_start_time","consumption_kWh"
"22/12/2023","05:45",.065
"22/12/2023","06:00",.06
"22/12/2023","06:15",.762
"22/12/2023","06:30",.777
"22/12/2023","06:45",.101
"22/12/2023","07:00",.162
"22/12/2023","07:15",.107
"22/12/2023","07:30",.103
"22/12/2023","07:45",.111
"22/12/2023","08:00",.111
"22/12/2023","08:15",.1
"22/12/2023","08:30",.095
"22/12/2023","08:45",.099
"22/12/2023","09:00",.1
"22/12/2023","09:15",.087
"22/12/2023","09:30",.095
"22/12/2023","09:45",.099
"22/12/2023","10:00",.099
"22/12/2023","10:15",.087
"22/12/2023","10:30",.094
"22/12/2023","10:45",.116
"22/12/2023","11:00",.103
"22/12/2023","11:15",.09
"22/12/2023","11:30",.085
"22/12/2023","11:45",.125
"22/12/2023","12:00",.245
"22/12/2023","12:15",.173
"22/12/2023","12:30",.159
"22/12/2023","12:45",.146
"22/12/2023","13:00",.136
"22/12/2023","13:15",.126
"22/12/2023","13:30",.147
"22/12/2023","13:45",.26
"22/12/2023","14:00",.329
"22/12/2023","14:15",.123
"22/12/2023","14:30",.085
"22/12/2023","14:45",.157
"22/12/2023","15:00",.722
"22/12/2023","15:15",.969
"22/12/2023","15:30",.435
"22/12/2023","15:45",.119
"22/12/2023","16:00",.101
"22/12/2023","16:15",.083
"22/12/2023","16:30",.099
"22/12/2023","16:45",.364
"22/12/2023","17:00",.121
"22/12/2023","17:15",.116
"22/12/2023","17:30",.251
"22/12/2023","17:45",.179
"22/12/2023","18:00",.166
"22/12/2023","18:15",.209
"22/12/2023","18:30",.12
"22/12/2023","18:45",.146
"22/12/2023","19:00",.131
"22/12/2023","19:15",.902
"22/12/2023","19:30",.791
"22/12/2023","19:45",.776
"22/12/2023","20:00",.967
"22/12/2023","20:15",1.535
"22/12/2023","20:30",.917
"22/12/2023","20:45",.229
"22/12/2023","21:00",.218
"22/12/2023","21:15",.149
"22/12/2023","21:30",.239
"22/12/2023","21:45",.179
"22/12/2023","22:00",.23
"22/12/2023","22:15",.265
"22/12/2023","22:30",.172
"22/12/2023","22:45",.232
"22/12/2023","23:00",.199
"22/12/2023","23:15",.083
"22/12/2023","23:30",.167
"22/12/2023","23:45",.057
"23/12/2023","00:00",.146
"23/12/2023","00:15",.162
"23/12/2023","00:30",.116
"23/12/2023","00:45",.145
"23/12/2023","01:00",.077
"23/12/2023","01:15",.153
"23/12/2023","01:30",.133
"23/12/2023","01:45",.064
"23/12/2023","02:00",.138
"23/12/2023","02:15",.062
"23/12/2023","02:30",.164
"23/12/2023","02:45",.062
"23/12/2023","03:00",.134
"23/12/2023","03:15",.134
"23/12/2023","03:30",.074
"23/12/2023","03:45",.131
"23/12/2023","04:00",.06
"23/12/2023","04:15",.145
"23/12/2023","04:30",.063
"23/12/2023","04:45",.132
"23/12/2023","05:00",.096
"23/12/2023","05:15",.112
"23/12/2023","05:30",.143
"23/12/2023","05:45",.053
"23/12/2023","06:00",.185
"23/12/2023","06:15",.836
"23/12/2023","06:30",.873
"23/12/2023","06:45",.079
"23/12/2023","07:00",.175
"23/12/2023","07:15",.108
"23/12/2023","07:30",.167
"23/12/2023","07:45",.237
"23/12/2023","08:00",.087
"23/12/2023","08:15",.1
"23/12/2023","08:30",.149
"23/12/2023","08:45",.232
"23/12/2023","09:00",.207
"23/12/2023","09:15",.619
"23/12/2023","09:30",.696
"23/12/2023","09:45",.63
"23/12/2023","10:00",.61
"23/12/2023","10:15",.766
"23/12/2023","10:30",.577
"23/12/2023","10:45",.575
"23/12/2023","11:00",.575
"23/12/2023","11:15",.562
"23/12/2023","11:30",.529
"23/12/2023","11:45",.509
"23/12/2023","12:00",.172
"23/12/2023","12:15",.113
"23/12/2023","12:30",.402
"23/12/2023","12:45",.634
"23/12/2023","13:00",.166
"23/12/2023","13:15",.108
"23/12/2023","13:30",.09
"23/12/2023","13:45",.196
"23/12/2023","14:00",.847
"23/12/2023","14:15",1.399
"23/12/2023","14:30",1.402
"23/12/2023","14:45",1.216
"23/12/2023","15:00",.871
"23/12/2023","15:15",1
"23/12/2023","15:30",1.221
"23/12/2023","15:45",1.284
"23/12/2023","16:00",1.578
"23/12/2023","16:15",.842
"23/12/2023","16:30",.093
"23/12/2023","16:45",.12
"23/12/2023","17:00",.1
"23/12/2023","17:15",.057
"23/12/2023","17:30",.057
"23/12/2023","17:45",.048
"23/12/2023","18:00",.05
"23/12/2023","18:15",.052
"23/12/2023","18:30",.038
"23/12/2023","18:45",.054
"23/12/2023","19:00",.059
"23/12/2023","19:15",.057
"23/12/2023","19:30",.045
"23/12/2023","19:45",.073
"23/12/2023","20:00",.092
"23/12/2023","20:15",.812
"23/12/2023","20:30",1.092
"23/12/2023","20:45",1.349
"23/12/2023","21:00",1.341
"23/12/2023","21:15",1.445
"23/12/2023","21:30",.524
"23/12/2023","21:45",.107
"23/12/2023","22:00",.105
"23/12/2023","22:15",.124
"23/12/2023","22:30",.091
"23/12/2023","22:45",.088
"23/12/2023","23:00",.047
"23/12/2023","23:15",.047
"23/12/2023","23:30",.031
"23/12/2023","23:45",.04
"24/12/2023","00:00",.049
"24/12/2023","00:15",.051
"24/12/2023","00:30",.038
"24/12/2023","00:45",.054
"24/12/2023","01:00",.052
"24/12/2023","01:15",.045
"24/12/2023","01:30",.036
"24/12/2023","01:45",.039
"24/12/2023","02:00",.044
"24/12/2023","02:15",.044
"24/12/2023","02:30",.034
"24/12/2023","02:45",.038
"24/12/2023","03:00",.045
"24/12/2023","03:15",.047
"24/12/2023","03:30",.035
"24/12/2023","03:45",.04
"24/12/2023","04:00",.059
"24/12/2023","04:15",.047
"24/12/2023","04:30",.034
"24/12/2023","04:45",.042
"24/12/2023","05:00",.046
"24/12/2023","05:15",.045
"24/12/2023","05:30",.037
"24/12/2023","05:45",.044
"24/12/2023","06:00",.054
"24/12/2023","06:15",.824
"24/12/2023","06:30",.761
"24/12/2023","06:45",.07
"24/12/2023","07:00",.289
"24/12/2023","07:15",.159
"24/12/2023","07:30",.136
"24/12/2023","07:45",.106
"24/12/2023","08:00",.097
"24/12/2023","08:15",.08
"24/12/2023","08:30",.099
"24/12/2023","08:45",.118
"24/12/2023","09:00",.146
"24/12/2023","09:15",.104
"24/12/2023","09:30",.116
